Capture IP Address Packets

03:26:30.950798 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 745664:745820, ack 361, win 4063, length 156
03:26:31.190155 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1281296:1281452, ack 649, win 4063, length 156
03:26:31.190184 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1281452:1281608, ack 649, win 4063, length 156
03:26:31.190213 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1281608:1281764, ack 649, win 4063, length 156
03:26:31.190240 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1281764:1281920, ack 649, win 4063, length 156
03:26:31.190265 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1281920:1282076, ack 649, win 4063, length 156
03:26:31.190292 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1282076:1282232, ack 649, win 4063, length 156
03:26:31.190318 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1282232:1282388, ack 649, win 4063, length 156
03:26:31.190345 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1282388:1282544, ack 649, win 4063, length 156
03:26:31.190375 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1282544:1282700, ack 649, win 4063, length 156
03:26:31.190404 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1282700:1282856, ack 649, win 4063, length 156
03:26:31.190431 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1282856:1283012, ack 649, win 4063, length 156
03:26:31.190456 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1283012:1283168, ack 649, win 4063, length 156
03:26:31.190482 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1283168:1283324, ack 649, win 4063, length 156
03:26:31.190507 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1283324:1283480, ack 649, win 4063, length 156
03:26:31.190534 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1283480:1283636, ack 649, win 4063, length 156
03:26:31.190566 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1283636:1283792, ack 649, win 4063, length 156
03:26:31.190592 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1283792:1283948, ack 649, win 4063, length 156
03:26:31.190620 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1283948:1284104, ack 649, win 4063, length 156
03:26:31.190645 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1284104:1284260, ack 649, win 4063, length 156
03:26:31.190672 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1284260:1284416, ack 649, win 4063, length 156
03:26:31.190696 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1284416:1284572, ack 649, win 4063, length 156
03:26:31.190722 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1284572:1284728, ack 649, win 4063, length 156
03:26:31.190750 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1284728:1284884, ack 649, win 4063, length 156
03:26:31.190782 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1284884:1285040, ack 649, win 4063, length 156
03:26:31.190809 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1285040:1285196, ack 649, win 4063, length 156
03:26:31.190834 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1285196:1285352, ack 649, win 4063, length 156
03:26:31.190861 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1285352:1285508, ack 649, win 4063, length 156
03:26:31.190887 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1285508:1285664, ack 649, win 4063, length 156
03:26:31.190914 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1285664:1285820, ack 649, win 4063, length 156
03:26:31.190939 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1285820:1285976, ack 649, win 4063, length 156
03:26:31.190970 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1285976:1286132, ack 649, win 4063, length 156
03:26:31.190999 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1286132:1286288, ack 649, win 4063, length 156
03:26:31.191024 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1286288:1286444, ack 649, win 4063, length 156
03:26:31.191050 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1286444:1286600, ack 649, win 4063, length 156
03:26:31.191075 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1286600:1286756, ack 649, win 4063, length 156
03:26:31.191102 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1286756:1286912, ack 649, win 4063, length 156
03:26:31.191128 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1286912:1287068, ack 649, win 4063, length 156
03:26:31.191153 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1287068:1287224, ack 649, win 4063, length 156
03:26:31.191186 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1287224:1287380, ack 649, win 4063, length 156
03:26:31.191212 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1287380:1287536, ack 649, win 4063, length 156
03:26:31.191238 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1287536:1287692, ack 649, win 4063, length 156
03:26:31.191263 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1287692:1287848, ack 649, win 4063, length 156
03:26:31.191290 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1287848:1288004, ack 649, win 4063, length 156
03:26:31.191315 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1288004:1288160, ack 649, win 4063, length 156
03:26:31.191341 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1288160:1288316, ack 649, win 4063, length 156
03:26:31.191370 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1288316:1288472, ack 649, win 4063, length 156
03:26:31.191398 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1288472:1288628, ack 649, win 4063, length 156
03:26:31.191424 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1288628:1288784, ack 649, win 4063, length 156
03:26:31.191449 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1288784:1288940, ack 649, win 4063, length 156
03:26:31.191475 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1288940:1289096, ack 649, win 4063, length 156
03:26:31.191500 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1289096:1289252, ack 649, win 4063, length 156
03:26:31.191526 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1289252:1289408, ack 649, win 4063, length 156
03:26:31.191552 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1289408:1289564, ack 649, win 4063, length 156
03:26:31.191582 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1289564:1289720, ack 649, win 4063, length 156
03:26:31.191611 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1289720:1289876, ack 649, win 4063, length 156
03:26:31.191637 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1289876:1290032, ack 649, win 4063, length 156
03:26:31.191663 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1290032:1290188, ack 649, win 4063, length 156
03:26:31.191690 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1290188:1290344, ack 649, win 4063, length 156
03:26:31.191715 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1290344:1290500, ack 649, win 4063, length 156
03:26:31.191741 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1290500:1290656, ack 649, win 4063, length 156
03:26:31.191769 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1290656:1290812, ack 649, win 4063, length 156
03:26:31.191797 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1290812:1290968, ack 649, win 4063, length 156
03:26:31.191822 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1290968:1291124, ack 649, win 4063, length 156
03:26:31.191848 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1291124:1291280, ack 649, win 4063, length 156
03:26:31.191873 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1291280:1291436, ack 649, win 4063, length 156
03:26:31.191898 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1291436:1291592, ack 649, win 4063, length 156
03:26:31.191924 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1291592:1291748, ack 649, win 4063, length 156
03:26:31.191949 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1291748:1291904, ack 649, win 4063, length 156
03:26:31.191981 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1291904:1292060, ack 649, win 4063, length 156
03:26:31.192010 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1292060:1292216, ack 649, win 4063, length 156
03:26:31.192036 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1292216:1292372, ack 649, win 4063, length 156
03:26:31.192063 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1292372:1292528, ack 649, win 4063, length 156
03:26:31.192090 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1292528:1292684, ack 649, win 4063, length 156
03:26:31.192114 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1292684:1292840, ack 649, win 4063, length 156
03:26:31.192145 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1292840:1292996, ack 649, win 4063, length 156
03:26:31.192173 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1292996:1293152, ack 649, win 4063, length 156
03:26:31.192200 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1293152:1293308, ack 649, win 4063, length 156
03:26:31.192224 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1293308:1293464, ack 649, win 4063, length 156
03:26:31.192255 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1293464:1293620, ack 649, win 4063, length 156
03:26:31.192282 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1293620:1293776, ack 649, win 4063, length 156
03:26:31.192315 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1293776:1293932, ack 649, win 4063, length 156
03:26:31.192354 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1293932:1294088, ack 649, win 4063, length 156
03:26:31.192388 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1294088:1294244, ack 649, win 4063, length 156
03:26:31.192415 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1294244:1294400, ack 649, win 4063, length 156
03:26:31.192441 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1294400:1294556, ack 649, win 4063, length 156
03:26:31.192478 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1294556:1294712, ack 649, win 4063, length 156
03:26:31.192514 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1294712:1294868, ack 649, win 4063, length 156
03:26:31.192545 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1294868:1295024, ack 649, win 4063, length 156
03:26:31.192574 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1295024:1295180, ack 649, win 4063, length 156
03:26:31.192609 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1295180:1295336, ack 649, win 4063, length 156
03:26:31.192642 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1295336:1295492, ack 649, win 4063, length 156
03:26:31.192671 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1295492:1295648, ack 649, win 4063, length 156
03:26:31.192698 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1295648:1295804, ack 649, win 4063, length 156
03:26:31.192725 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1295804:1295960, ack 649, win 4063, length 156
03:26:31.192752 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1295960:1296116, ack 649, win 4063, length 156
03:26:31.192784 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1296116:1296272, ack 649, win 4063, length 156
03:26:31.192810 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1296272:1296428, ack 649, win 4063, length 156
03:26:31.192837 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1296428:1296584, ack 649, win 4063, length 156
03:26:31.192864 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1296584:1296740, ack 649, win 4063, length 156
03:26:31.192889 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1296740:1296896, ack 649, win 4063, length 156
03:26:31.192934 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1296896:1297052, ack 649, win 4063, length 156
03:26:31.192961 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1297052:1297208, ack 649, win 4063, length 156
03:26:31.192990 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1297208:1297364, ack 649, win 4063, length 156
03:26:31.193018 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1297364:1297520, ack 649, win 4063, length 156
03:26:31.193043 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1297520:1297676, ack 649, win 4063, length 156
03:26:31.193068 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1297676:1297832, ack 649, win 4063, length 156
03:26:31.193093 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1297832:1297988, ack 649, win 4063, length 156
03:26:31.193125 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1297988:1298144, ack 649, win 4063, length 156
03:26:31.193153 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1298144:1298300, ack 649, win 4063, length 156
03:26:31.193179 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1298300:1298456, ack 649, win 4063, length 156
03:26:31.193207 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1298456:1298612, ack 649, win 4063, length 156
03:26:31.193232 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1298612:1298768, ack 649, win 4063, length 156
03:26:31.193259 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1298768:1298924, ack 649, win 4063, length 156
03:26:31.193284 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1298924:1299080, ack 649, win 4063, length 156
03:26:31.193315 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1299080:1299236, ack 649, win 4063, length 156
03:26:31.193340 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1299236:1299392, ack 649, win 4063, length 156
03:26:31.193368 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1299392:1299548, ack 649, win 4063, length 156
03:26:31.193393 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1299548:1299704, ack 649, win 4063, length 156
03:26:31.193420 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1299704:1299860, ack 649, win 4063, length 156
03:26:31.193446 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1299860:1300016, ack 649, win 4063, length 156
03:26:31.193472 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1300016:1300172, ack 649, win 4063, length 156
03:26:31.193502 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1300172:1300328, ack 649, win 4063, length 156
03:26:31.193528 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1300328:1300484, ack 649, win 4063, length 156
03:26:31.193554 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1300484:1300640, ack 649, win 4063, length 156
03:26:31.193580 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1300640:1300796, ack 649, win 4063, length 156
03:26:31.193605 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1300796:1300952, ack 649, win 4063, length 156
03:26:31.193633 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1300952:1301108, ack 649, win 4063, length 156
03:26:31.193658 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1301108:1301264, ack 649, win 4063, length 156
03:26:31.193685 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1301264:1301420, ack 649, win 4063, length 156
03:26:31.193714 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1301420:1301576, ack 649, win 4063, length 156
03:26:31.193746 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1301576:1301732, ack 649, win 4063, length 156
03:26:31.193771 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1301732:1301888, ack 649, win 4063, length 156
03:26:31.193797 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1301888:1302044, ack 649, win 4063, length 156
03:26:31.193822 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1302044:1302200, ack 649, win 4063, length 156
03:26:31.193850 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1302200:1302356, ack 649, win 4063, length 156
03:26:31.193876 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1302356:1302512, ack 649, win 4063, length 156
03:26:31.193907 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1302512:1302668, ack 649, win 4063, length 156
03:26:31.193932 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1302668:1302824, ack 649, win 4063, length 156
03:26:31.193959 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1302824:1302980, ack 649, win 4063, length 156
03:26:31.193985 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1302980:1303136, ack 649, win 4063, length 156
03:26:31.194010 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1303136:1303292, ack 649, win 4063, length 156
03:26:31.194036 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1303292:1303448, ack 649, win 4063, length 156
03:26:31.194064 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1303448:1303604, ack 649, win 4063, length 156
03:26:31.194095 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1303604:1303760, ack 649, win 4063, length 156
03:26:31.194136 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1303760:1303916, ack 649, win 4063, length 156
03:26:31.194169 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1303916:1304072, ack 649, win 4063, length 156
03:26:31.194202 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1304072:1304228, ack 649, win 4063, length 156
03:26:31.194230 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1304228:1304384, ack 649, win 4063, length 156
03:26:31.194257 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1304384:1304540, ack 649, win 4063, length 156
03:26:31.194281 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1304540:1304696, ack 649, win 4063, length 156
03:26:31.194309 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1304696:1304852, ack 649, win 4063, length 156
03:26:31.194339 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1304852:1305008, ack 649, win 4063, length 156
03:26:31.194366 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1305008:1305164, ack 649, win 4063, length 156
03:26:31.194392 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1305164:1305320, ack 649, win 4063, length 156
03:26:31.194418 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1305320:1305476, ack 649, win 4063, length 156
03:26:31.194444 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1305476:1305632, ack 649, win 4063, length 156
03:26:31.194469 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1305632:1305788, ack 649, win 4063, length 156
03:26:31.194496 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1305788:1305944, ack 649, win 4063, length 156
03:26:31.194529 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1305944:1306100, ack 649, win 4063, length 156
03:26:31.194556 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1306100:1306256, ack 649, win 4063, length 156
03:26:31.194586 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1306256:1306412, ack 649, win 4063, length 156
03:26:31.194612 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1306412:1306568, ack 649, win 4063, length 156
03:26:31.194638 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1306568:1306724, ack 649, win 4063, length 156
03:26:31.194664 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1306724:1306880, ack 649, win 4063, length 156
03:26:31.194689 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1306880:1307036, ack 649, win 4063, length 156
03:26:31.194719 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1307036:1307192, ack 649, win 4063, length 156
03:26:31.194747 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1307192:1307348, ack 649, win 4063, length 156
03:26:31.194775 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1307348:1307504, ack 649, win 4063, length 156
03:26:31.194801 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1307504:1307660, ack 649, win 4063, length 156
03:26:31.194827 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1307660:1307816, ack 649, win 4063, length 156
03:26:31.194852 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1307816:1307972, ack 649, win 4063, length 156
03:26:31.194878 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1307972:1308128, ack 649, win 4063, length 156
03:26:31.194908 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1308128:1308284, ack 649, win 4063, length 156
03:26:31.194934 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1308284:1308440, ack 649, win 4063, length 156
03:26:31.194963 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1308440:1308596, ack 649, win 4063, length 156
03:26:31.194989 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1308596:1308752, ack 649, win 4063, length 156
03:26:31.195015 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1308752:1308908, ack 649, win 4063, length 156
03:26:31.195041 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1308908:1309064, ack 649, win 4063, length 156
03:26:31.195067 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1309064:1309220, ack 649, win 4063, length 156
03:26:31.195092 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1309220:1309376, ack 649, win 4063, length 156
03:26:31.195124 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1309376:1309532, ack 649, win 4063, length 156
03:26:31.195151 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1309532:1309688, ack 649, win 4063, length 156
03:26:31.195178 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1309688:1309844, ack 649, win 4063, length 156
03:26:31.195205 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1309844:1310000, ack 649, win 4063, length 156
03:26:31.195230 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1310000:1310156, ack 649, win 4063, length 156
03:26:31.195256 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1310156:1310312, ack 649, win 4063, length 156
03:26:31.195283 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1310312:1310468, ack 649, win 4063, length 156
03:26:31.195320 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1310468:1310624, ack 649, win 4063, length 156
03:26:31.195345 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1310624:1310780, ack 649, win 4063, length 156
03:26:31.195371 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1310780:1310936, ack 649, win 4063, length 156
03:26:31.195406 IP 69.157.59.48.65302 > 159.203.58.6.22: Flags [.], ack 1282388, win 2064, length 0
03:26:31.195406 IP 69.157.59.48.65302 > 159.203.58.6.22: Flags [.], ack 1285040, win 2064, length 0
03:26:31.195439 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1310936:1311092, ack 649, win 4063, length 156
03:26:31.195506 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1311092:1311456, ack 649, win 4063, length 364
03:26:31.195541 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1311456:1311612, ack 649, win 4063, length 156
03:26:31.195576 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1311612:1311768, ack 649, win 4063, length 156
03:26:31.195609 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1311768:1311924, ack 649, win 4063, length 156
03:26:31.195635 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1311924:1312080, ack 649, win 4063, length 156
03:26:31.195660 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1312080:1312236, ack 649, win 4063, length 156
03:26:31.195686 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1312236:1312392, ack 649, win 4063, length 156
03:26:31.195712 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1312392:1312548, ack 649, win 4063, length 156
03:26:31.195739 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1312548:1312704, ack 649, win 4063, length 156
03:26:31.195764 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1312704:1312860, ack 649, win 4063, length 156
03:26:31.195790 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1312860:1313016, ack 649, win 4063, length 156
03:26:31.195822 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1313016:1313172, ack 649, win 4063, length 156
03:26:31.195848 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1313172:1313328, ack 649, win 4063, length 156
03:26:31.195875 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1313328:1313484, ack 649, win 4063, length 156
03:26:31.195900 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1313484:1313640, ack 649, win 4063, length 156
